id;start_time;end_time;is_returned
b2718bdf-7bad-4ac8-9a59-23e9c2d02a1a;2023-07-22T04:04:25;2023-07-22T05:20:16;true
2a77f8e7-d656-49c2-9e35-ecb677c0a1f8;2023-07-21T23:08:50;2023-07-22T02:56:55;true
fc61aecb-6096-4cc4-b79c-e6ae884b53dd;2023-07-21T19:00:16;2023-07-21T19:55:28;false
1c6f4f9e-bfc0-4f0a-bcce-2699009f136a;2023-07-22T01:59:38;2023-07-21T16:05:17;true
0b166cc0-6587-48c7-beea-aef055a75bc8;2023-07-21T16:23:56;2023-07-21T17:48:01;false
baa8c37e-5beb-43eb-9878-343f102b5c90;2023-07-21T11:39:56;2023-07-21T21:21:12;true
99f1799e-03f9-4077-a705-c5db9c45b10e;2023-07-21T16:37:27;2023-07-22T00:41:30;false
97db3e57-4729-4868-97ca-0415a0933c90;2023-07-21T22:54:33;2023-07-21T18:09:44;true
aae53c77-b58f-4e85-a8cf-fff4b92e4d90;2023-07-22T05:02:45;2023-07-21T10:44:31;true
1068deac-adee-47ce-a858-5feda96da369;2023-07-21T14:15:35;2023-07-22T07:59:26;false
