id;is_deleted;book_id;created_by;created_date;last_modified_by;last_modified_date
1;false;1;librarian-1;2023-08-12 16:53:36.638399;librarian-1;2023-08-12 16:53:36.638399
2;false;2;librarian-1;2023-08-12 16:53:36.638399;librarian-1;2023-08-12 16:53:36.638399
3;false;3;librarian-1;2023-08-12 16:53:36.638399;librarian-1;2023-08-12 16:53:36.638399
4;false;4;librarian-1;2023-08-12 16:53:36.638399;librarian-1;2023-08-12 16:53:36.638399
5;false;5;librarian-1;2023-08-12 16:53:36.638399;librarian-1;2023-08-12 16:53:36.638399
6;false;6;librarian-1;2023-08-12 16:53:36.638399;librarian-1;2023-08-12 16:53:36.638399
7;false;7;librarian-1;2023-08-12 16:53:36.638399;librarian-1;2023-08-12 16:53:36.638399
8;false;8;librarian-1;2023-08-12 16:53:36.638399;librarian-1;2023-08-12 16:53:36.638399
9;false;9;librarian-1;2023-08-12 16:53:36.638399;librarian-1;2023-08-12 16:53:36.638399
10;false;10;librarian-1;2023-08-12 16:53:36.638399;librarian-1;2023-08-12 16:53:36.638399
11;false;11;librarian-1;2023-08-12 16:53:36.638399;librarian-1;2023-08-12 16:53:36.638399
12;false;12;librarian-1;2023-08-12 16:53:36.638399;librarian-1;2023-08-12 16:53:36.638399
13;false;13;librarian-2;2023-08-12 16:53:36.638399;librarian-2;2023-08-12 16:53:36.638399
14;false;14;librarian-2;2023-08-12 16:53:36.638399;librarian-2;2023-08-12 16:53:36.638399
15;false;15;librarian-2;2023-08-12 16:53:36.638399;librarian-2;2023-08-12 16:53:36.638399
16;false;16;librarian-2;2023-08-12 16:53:36.638399;librarian-2;2023-08-12 16:53:36.638399
17;false;17;librarian-2;2023-08-12 16:53:36.638399;librarian-2;2023-08-12 16:53:36.638399
18;false;18;librarian-2;2023-08-12 16:53:36.638399;librarian-2;2023-08-12 16:53:36.638399
19;false;19;librarian-2;2023-08-12 16:53:36.638399;librarian-2;2023-08-12 16:53:36.638399
20;false;20;librarian-2;2023-08-12 16:53:36.638399;librarian-2;2023-08-12 16:53:36.638399
21;false;21;librarian-2;2023-08-12 16:53:36.638399;librarian-2;2023-08-12 16:53:36.638399
22;false;22;librarian-2;2023-08-12 16:53:36.638399;librarian-2;2023-08-12 16:53:36.638399
23;false;23;librarian-2;2023-08-12 16:53:36.638399;librarian-2;2023-08-12 16:53:36.638399
24;false;24;librarian-2;2023-08-12 16:53:36.638399;librarian-2;2023-08-12 16:53:36.638399
25;false;25;librarian-2;2023-08-12 16:53:36.638399;librarian-2;2023-08-12 16:53:36.638399
26;false;26;librarian-2;2023-08-12 16:53:36.638399;librarian-2;2023-08-12 16:53:36.638399
